|Исполнение|Тип накопителя|Назначение|Объем|Форм-фактор|Интерфейсы подключения|Объем буфера обмена|Частота вращения шпинделя|Кол-во пластин|Среднее время поиска|Потребляемая мощность при ожидании|Ударостойкость при работе|Уровень шума в режиме ожидания|Наработка на отказ|Гарантия производителя|Потребляемая мощность при работе|Уровень шума при чтении|Функции и возможности|Пыле-,влагозащита|Стандарт защиты MIL-STD-810|Источник питания (внешние)|Корпус|Размеры|Вес|Объем кеш-памяти NAND|Метод записи|Скорость передачи данных|Маркировка производителя|Гелиевый|Код EAN / UPS / GTIN|Чехол в комплекте
HP Midline SATA 872489-B21 872489-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 846524-B21 846524-B21|встраиваемый|HDD|для ПК|1000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 870759-B21 870759-B21|встраиваемый|HDD|для сервера|900 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
HP Midline SATA 861676-B21 861676-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 819201-B21 819201-B21|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Midline SATA 861750-B21 861750-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 833926-B21 833926-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP Midline SAS 872485-B21 872485-B21|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 507129-018 507129-018"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
HP Midline SAS 461289-001 461289-001|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS||7200 об/мин||9 мс|||||||||||||||||||||
Synology Plus Series HAT3310-12T HAT3310-12T|встраиваемый|HDD|для ПК|12000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин|||3.3 Вт||20 дБ|1.2 млн. ч|3 года|6.85 Вт|32 дБ||||||147x102x26 мм|720 г|||281 МБ/с||Есть||
HP Midline SAS 861754-B21 861754-B21|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS ATJ 400-ATJS 400-ATJS|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST5000NM0024 ST5000NM0024|встраиваемый|HDD|для сервера|5000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6.9 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.27 Вт|||||||102x147x26 мм|780 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST2000NM0044 ST2000NM0044|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|4.5 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|8.08 Вт||шифрование данных / SED /|||||102x147x26 мм|605 г|||||||
"HP Server SAS 2.5"" 581284-B21 581284-B21"|встраиваемый|HDD|для сервера|450 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||138x79x16 мм||||||||
"HP Server SAS 2.5"" C8S59A C8S59A"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0175 ST6000NM0175|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA 3|256 МБ|7200 об/мин||||||2 млн. ч|5 лет||||||||102x147x26 мм|700 г|||||||
"HP Server SAS 2.5"" 430165-003 430165-003"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST10000NM0096 ST10000NM0096|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SAS|256 МБ|7200 об/мин||4 мс|5.5 Вт|40 G||2.5 млн. ч|5 лет|9.4 Вт|||||||147x102x26 мм|650 г|||||||
"HP Server SAS 2.5"" 512547-B21 512547-B21"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 431958-B21 431958-B21"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||100x70x15 мм||||||||
"HP Server SAS 2.5"" 459512-002 459512-002"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 613922-001 613922-001"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин||4 мс||||1.7 млн. ч|||||||||||||||||
Toshiba MG04SCAxxEA MG04SCA20EE MG04SCA20EE|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|6.1 Вт|70 G||1.4 млн. ч|5 лет|11.8 Вт|||||||102x147x26 мм|720 г|||||||
"HP Server SAS 2.5"" 697574-B21 697574-B21"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин||5 мс|||||||||||||76x119x16 мм||||||||
"HP Server SAS 2.5"" 785067-B21 785067-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин||3 мс|||||||||||||156x76x19 мм|450 г|||||||
"HP Server SAS 2.5"" 781516-B21 781516-B21"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||76x119x15 мм|450 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST1000NM0045 ST1000NM0045|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|4.75 Вт|40 G||2 млн. ч|1 год|6.3 Вт|||||||102x26x147 мм|610 г|||215 МБ/с||||
Seagate Enterprise Capacity 3.5 HDD ST10000NM0016 ST10000NM0016|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс||40 G||2 млн. ч|5 лет||||||||147x102x26 мм||||249 МБ/с||||
Toshiba MG04ACAxxxxE MG04ACA600E MG04ACA600E|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6 Вт|70 G||1.4 млн. ч|5 лет|11.3 Вт|||||||147x101.6x26.1 мм|720 г|||||||
"HP Server SAS 2.5"" 504062-B21 504062-B21"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 605835-S21 605835-S21"|встраиваемый|HDD|для сервера|1000 ГБ|"2.5 """|SAS||10000 об/мин||4 мс||||1.7 млн. ч|||||||||||||||||
WD Ultrastar DC HC560 WUH722020ALE6L4 WUH722020ALE6L4|встраиваемый|HDD|для сервера|20000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|512 МБ|7200 об/мин||||||2.5 млн. ч|||||||||147x102x26 мм|718 г|||291 МБ/с|0F38755|||
Seagate Enterprise Capacity 3.5 HDD ST5000NM0034 ST5000NM0034|встраиваемый|HDD|для сервера|5000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|6.96 Вт|70 G / во время записи 40 /||1.4 млн. ч|5 лет|10.72 Вт|||||||102x147x26 мм|780 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST5000NM0054 ST5000NM0054|встраиваемый|HDD|для сервера|5000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|6.96 Вт|70 G / во время записи 40 /||1.4 млн. ч|5 лет|10.72 Вт||шифрование данных / SED /|||||102x147x26 мм|780 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST2000NM0054 ST2000NM0054|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|4.84 Вт|70 G / во время записи 40 /||1.4 млн. ч|5 лет|8.93 Вт||шифрование данных / SED /|||||102x147x26 мм|605 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0044 ST6000NM0044|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6.9 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.27 Вт||шифрование данных / SED /|||||102x147x26 мм|780 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST3000NM0025 ST3000NM0025|встраиваемый|HDD|для ПК|3000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин|||6.52 Вт|40 G||2 млн. ч|5 лет|7.74 Вт||шифрование данных|||||101x147x26 мм|680 г|||||||
"HP Server SAS 2.5"" 652611-B21 652611-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||15000 об/мин||3 мс|||||||||||||76x119x16 мм|450 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST4000NM0024 ST4000NM0024|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|6 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|9.42 Вт|||||||102x147x26 мм|635 г|||||||
"HP Server SAS 2.5"" 619291-B21 619291-B21"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 652564-B21 652564-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||76x119x16 мм|450 г|||||||
"HP Server SAS 2.5"" 652589-B21 652589-B21"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||76x119x16 мм|450 г|||||||
"HP Server SAS 2.5"" 652605-B21 652605-B21"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||119x76x16 мм|450 г|||||||
HP Midline SATA 657750-B21 657750-B21|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3||7200 об/мин|||||||||||||||170x106x27 мм||||||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0034 ST6000NM0034|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|7.97 Вт|70 G / во время записи 40 /||1.4 млн. ч|5 лет|11.86 Вт|||||||102x147x26 мм|780 г|||||||
Dell SAS 10K 400-BJSL 400-BJSL|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
HP MSA SAS QK703A QK703A|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Dell SAS 10K 400-ASHJ 400-ASHJ|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0104 ST6000NM0104|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|7.97 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.86 Вт||шифрование данных / SED-FIPS /|||||102x147x26 мм|780 г|||||||
Dell SAS 10K 400-AJON 400-AJON|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 432320-001 432320-001"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||||||||||
"HP Server SAS 2.5"" 375861-B21 375861-B21"|встраиваемый|HDD|для сервера|72 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин||4 мс||||1.7 млн. ч|||||||||||||||||
"HP Server SAS 2.5"" P28505-B21 P28505-B21"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SAS|128 МБ|7200 об/мин|||||||2 года||||||||||||||||
Dell SAS 10K 400-AJPL 400-AJPL|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Dell SAS 10K 400-BJRQ 400-BJRQ|встраиваемый|HDD|для сервера|4000 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Dell SAS 10K 400-AUQZ 400-AUQZ|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Dell SAS ATJ 400-ATJM 400-ATJM|встраиваемый|HDD|для сервера|1200 ГБ|"3.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST2000NM0055 ST2000NM0055|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|9 Вт|40 G||2 млн. ч|5 лет|10 Вт|||||||102x26x147 мм|610 г|||||||
"Seagate Savvio 10K.6 2.5"" ST450MM0006 ST450MM0006"|встраиваемый|HDD|для сервера|450 ГБ|"2.5 """|SAS|64 МБ|10000 об/мин|2 шт|3 мс|3 Вт|40 G||2 млн. ч|5 лет||||||||70x15x100 мм|222 г|||||||
Dell SAS 10K 400-AUTI 400-AUTI|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
Seagate Helium ST10000NM0086 ST10000NM0086|встраиваемый|HDD|для сервера|10000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|256 МБ|7200 об/мин||4 мс|4.5 Вт|40 G||2.5 млн. ч|5 лет|8 Вт|||||||147x102x26 мм|650 г|||||||
"HP Server SAS 2.5"" 759212-B21 759212-B21"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||15000 об/мин||3 мс|||||||||||||76x119x16 мм||||||||
Dell SAS 10K 400-AUQX 400-AUQX|встраиваемый|HDD|для сервера|2400 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 418367-B21 418367-B21"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||100x70x15 мм||||||||
"HP Server SAS 2.5"" 432321-001 432321-001"|встраиваемый|HDD|для сервера|72 ГБ|"2.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 759208-B21 759208-B21"|встраиваемый|HDD|для сервера|300 ГБ|"2.5 """|SAS|8 МБ|15000 об/мин||3 мс|||||||||||||76x119x16 мм||||||||
Seagate Cheetah 15K.7 ST3450757SS ST3450757SS|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|3 шт|3 мс|10.1 Вт|60 G|36 дБ|1.6 млн. ч|5 лет|14.6 Вт||шифрование данных|||||||||||||
Dell SAS 10K 400-ARXC 400-ARXC|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 619286-004 619286-004"|встраиваемый|HDD|для сервера|900 ГБ|"2.5 """|SAS||10000 об/мин||4 мс||||1.7 млн. ч|||||||||||||||||
"HP Server SAS 2.5"" 748387-B21 748387-B21"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|8 МБ|15000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 765466-B21 765466-B21"|встраиваемый|HDD|для сервера|2000 ГБ|"2.5 """|SAS||7200 об/мин|||||||||||||||119x76x16 мм||||||||
"HP Server SAS 2.5"" 781518-B21 781518-B21"|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин||||||||||||||||450 г|||||||
HP MSA SAS J9V69A J9V69A|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||15000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 652572-B21 652572-B21"|встраиваемый|HDD|для сервера|450 ГБ|"2.5 """|SAS|16 МБ|10000 об/мин||4 мс|||||||||||||||||||||
HP MSA SAS AJ737A AJ737A|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS||4200 об/мин||4 мс||||1.7 млн. ч|||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST4000NM0034 ST4000NM0034|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|5.73 Вт|70 G / во время записи 40 /||1.4 млн. ч|5 лет|9.59 Вт|||||||102x147x26 мм|635 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST4000NM0054 ST4000NM0054|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|5.73 Вт|70 G / во время записи 40 /||1.4 млн. ч|5 лет|9.59 Вт||шифрование данных / SED /|||||102x147x26 мм|635 г|||||||
Seagate Enterprise Capacity 3.5 HDD ST2000NM0024 ST2000NM0024|встраиваемый|HDD|для сервера|2000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс|4.5 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|8.08 Вт|||||||102x147x26 мм|605 г|||||||
Seagate Cheetah 15K.7 ST3450857SS ST3450857SS|встраиваемый|HDD|для сервера|450 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|3 шт|3 мс|10.1 Вт|60 G|36 дБ|1.6 млн. ч|5 лет|14.6 Вт|||||||||||||||
"HP Server SAS 2.5"" 431935-B21 431935-B21"|встраиваемый|HDD|для сервера|72 ГБ|"2.5 """|SAS||15000 об/мин||3 мс|||||||||||||||||||||
"HP Server SAS 2.5"" 652583-B21 652583-B21"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS||10000 об/мин||4 мс|||||||||||||76x119x16 мм|450 г|||||||
HP MSA SAS M0S90A M0S90A|встраиваемый|HDD|для сервера|8000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Seagate Savvio 10K.6 2.5"" ST600MM0006 ST600MM0006"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|64 МБ|10000 об/мин|2 шт|3 мс|3 Вт|40 G||2 млн. ч|5 лет||||||||70x15x100 мм|221 г|||||||
Dell SAS 10K 401-ABDD 401-ABDD|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 507283-001 507283-001"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
"HP Server SAS 2.5"" 512744-001 512744-001"|встраиваемый|HDD|для сервера|146 ГБ|"2.5 """|SAS|16 МБ|15000 об/мин|||||||||||||||||||||||
HP MSA SAS AP858A AP858A|встраиваемый|HDD|для сервера|300 ГБ|"3.5 """|SAS||15000 об/мин||||||1.7 млн. ч|||||||||||||||||
Seagate Cheetah 15K.7 ST3600957SS ST3600957SS|встраиваемый|HDD|для сервера|600 ГБ|"3.5 """|SAS|16 МБ|15000 об/мин|4 шт|3 мс|8.74 Вт|60 G|36 дБ|1.6 млн. ч|5 лет|12.92 Вт|||||||||||||||
"HP Server SAS 2.5"" 791034-B21 791034-B21"|встраиваемый|HDD|для сервера|1800 ГБ|"2.5 """|SAS||10000 об/мин||||||||||||||||500 г|||||||
Seagate Constellation ES.3 ST1000NM0033 ST1000NM0033|встраиваемый|HDD|для сервера|1000 ГБ|"3.5 """|SATA, SATA 2, SATA 3|128 МБ|7200 об/мин||4 мс||300 G|||5 лет||||||||||||175 МБ/с||||
HP MSA SAS J9F36A J9F36A|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
Seagate Enterprise Capacity 3.5 HDD ST6000NM0014 ST6000NM0014|встраиваемый|HDD|для сервера|6000 ГБ|"3.5 """|SAS|128 МБ|7200 об/мин||4 мс|7.97 Вт|70 G / 40 при записи /||1.4 млн. ч|5 лет|11.86 Вт|||||||102x147x26 мм|780 г|||||||
HP MSA SAS C8R26A C8R26A|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
HP MSA SAS K2Q82A K2Q82A|встраиваемый|HDD|для сервера|4000 ГБ|"3.5 """|SAS||7200 об/мин|||||||||||||||||||||||
"Seagate Enterprise Performance 10K 2.5"" ST600MM0208 ST600MM0208"|встраиваемый|HDD|для сервера|600 ГБ|"2.5 """|SAS|128 МБ|10000 об/мин|2 шт||3.44 Вт|40 G|||5 лет|6.68 Вт|31 дБ||||||70x100x15 мм|222 г|||||||
Dell SAS 10K 400-AJPI 400-AJPI|встраиваемый|HDD|для сервера|1200 ГБ|"2.5 """|SAS||10000 об/мин|||||||||||||||||||||||
