|Серия|Кодовое название|Разъем (Socket)|Техпроцесс|Тактовая частота|Тепловыделение (TDP)|Поддержка инструкций|Множитель|Макс. рабочая температура|Кол-во ядер|Кэш 1-го уровня L1|Кэш 2-го уровня L2|Кол-во потоков|Модель IGP|Частота системной шины|Кэш 3-го уровня L3|Макс. объем ОЗУ|Макс. частота DDR3|Число каналов|Маркировка производителя|Частота TurboBoost / TurboCore|Комплектация|Свободный множитель|кэш 1-го уровня L1|кэш 2-го уровня L2|кэш 3-го уровня L3|Многопоточность|Поддержка PCI Express|Макс. частота DDR4|Тепловыделение Max (TDP)|Макс. частота DDR5|Performance-core Base|Efficient-core Base|Частота TurboBoost Max 3.0|Performance-core Max|Efficient-core Max|Performance|Efficient|Тест Passmark CPU Mark|Тест Geekbench 4|Тест Cinebench R15|1-го уровня L1|2-го уровня L2|3-го уровня L3|Макс. объем|Комплектуется кулером|Код EAN / UPS / GTIN
Intel Core i7 Haswell i7-4790|Core i7|Haswell|Intel LGA 1150|22 нм|3.6 ГГц|84 Вт|MMX, SSE, SSE2, SSE3, SSE4.1, SSE4.2|36|73 °С|4 cores|||8 threads|HD Graphics 4600||||1600 МГц|2 шт|BX80646I74790|4 ГГц||||||Есть|||||||||||||||128 КБ|1024 КБ|8 МБ|32 ГБ||
Intel Core i3 Raptor Lake i3-13100F BOX|Core i3|Raptor Lake|Intel LGA 1700|10 нм||58 Вт|SSE4.1, SSE4.2, AVX2||100 °С|4 cores|||8 threads|отсутствует|||||2 шт|BX8071513100F, BXC8071513100F||||||||5.0|3200 МГц|89 Вт|4800 МГц|3.4 ГГц|||4.5 ГГц||4 cores|||||||12 МБ|128 ГБ|Есть|5032037260336
Intel Core i7 Coffee Lake Refresh i7-9700 OEM|Core i7|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|30|100 °С|8 cores|||8 threads|UHD Graphics 630|||||2 шт|CM8068403874521|4.7 ГГц||Есть|||||3.0|2666 МГц||||||||||15731 балл(ов)|30724 балл(ов)|1491 балл(ов)|512 КБ|2048 КБ|12 МБ|128 ГБ||
AMD Ryzen 9 Raphael 7900 OEM|Ryzen 9|Raphael (Zen 4)|AMD AM5|5 нм|3.7 ГГц|65 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE||95 °С|12 cores|||24 threads|Radeon|||||2 шт|100-000000590|5.4 ГГц||Есть||||Есть|5.0|||5200 МГц|||||||||||768 КБ|12288 КБ|64 МБ|128 ГБ||
AMD Athlon X4 Bristol Ridge X4 950 BOX|Athlon X4|Bristol Ridge|AMD AM4|28 нм|3.5 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, F16C, FMA3, FMA4, TBM, XOP, AMD64, AMD-V, EVP /|||4 cores|||4 threads|отсутствует|||||2 шт|AD950XAGABBOX|3.8 ГГц||||||||2400 МГц|||||||||||||320 КБ|2048 КБ|||Есть|
Intel Core i5 Raptor Lake i5-13500T OEM|Core i5|Raptor Lake|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|14 cores|||20 threads|UHD Graphics 770|||||2 шт|CM8071505092901|||||||Есть|5.0|3200 МГц|92 Вт|4800 МГц|1.6 ГГц|1.2 ГГц||4.6 ГГц|3.2 ГГц|6 cores|8 cores||||||24 МБ|128 ГБ||
Intel Core i7 Coffee Lake i7-8700K OEM|Core i7|Coffee Lake|Intel LGA 1151 v2|14 нм|3.7 ГГц|95 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, VT-d, MPX, SGX /|37||6 cores|||12 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8068403358220|4.7 ГГц||Есть||||Есть|3.0|2666 МГц||||||||||15971 балл(ов)|43238 балл(ов)|1429 балл(ов)|||12 МБ|128 ГБ||
AMD Ryzen 3 Picasso 3200GE OEM|Ryzen 3|Picasso (Zen+)|AMD AM4|12 нм|3.3 ГГц|35 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|33|95 °С|4 cores|||4 threads|Radeon Vega 8|||||2 шт|YD3200C6M4MFH|3.8 ГГц|||||||3.0|2933 МГц|||||||||||||384 КБ|2048 КБ|4 МБ|||
Intel Core i9 Alder Lake i9-12900KS BOX|Core i9|Alder Lake|Intel LGA 1700|10 нм||150 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|BX8071512900KS|5.5 ГГц||Есть||||Есть|5.0|3200 МГц|241 Вт|4800 МГц|3.4 ГГц|2.5 ГГц|5.3 ГГц|5.2 ГГц|4 ГГц|8 cores|8 cores|||||14336 КБ|30 МБ|128 ГБ||
Intel Core i9 Coffee Lake Refresh i9-9900K BOX|Core i9|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.6 ГГц|95 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|36||8 cores|||16 threads|UHD Graphics 630|||||2 шт|BX80684I99900K|5 ГГц||Есть||||Есть|3.0|2666 МГц||||||||||20155 балл(ов)|42277 балл(ов)|1932 балл(ов)|512 КБ|2048 КБ|16 МБ|128 ГБ||
Intel Core i5 Coffee Lake Refresh i5-9600K OEM|Core i5|Coffee Lake Refresh|Intel LGA 1151 v2|14 нм|3.7 ГГц|95 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4.1, SSE4.2, EM64T, AES, AVX, AVX2 / FMA3, TSX /|37||6 cores|||6 threads|UHD Graphics 630|||||2 шт|CM8068403874404|4.6 ГГц||Есть|||||3.0|2666 МГц||||||||||13446 балл(ов)|26754 балл(ов)|1042 балл(ов)|384 КБ|1536 КБ|9 МБ|128 ГБ||
AMD Ryzen 9 Matisse 3950X OEM|Ryzen 9|Matisse (Zen 2)|AMD AM4|7 нм|3.5 ГГц|105 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|35||16 cores|||32 threads|отсутствует|||||2 шт|100-000000051|4.7 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||39236 балл(ов)|55310 балл(ов)|||8192 КБ|64 МБ|128 ГБ||
AMD Ryzen 3 Renoir-X 4100 MPK|Ryzen 3|Renoir (Zen 2)|AMD AM4|7 нм|3.8 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4A, AES, AVX, AVX 2, BMI1, SHA / AMD64, EVP, AMD-V, SMAP, SMEP, Precision Boost /||95 °С|4 cores|||8 threads|отсутствует|||||2 шт|100-100000510MPK|4 ГГц||Есть||||Есть|3.0|3200 МГц|||||||||||||256 КБ|2048 КБ|4 МБ||Есть|8592978370855
Intel Core i7 Raptor Lake i7-13700T OEM|Core i7|Raptor Lake|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|CM8071504820903|||||||Есть|5.0|3200 МГц|106 Вт|5600 МГц|1.4 ГГц|1 ГГц|4.9 ГГц|4.8 ГГц|3.6 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ||
AMD FX 4-Core FX-4300 OEM|FX|Vishera|AMD AM3+|32 нм|3.8 ГГц|95 Вт|SSE3, SSE4.1/4.2, AES, AVX Plus FMA4, XOP||70 °С|4 cores|||4 threads|отсутствует||||1866 МГц|2 шт|FD4300WMW4MHK|4 ГГц||Есть|||||||||||||||||||192 КБ|4096 КБ|4 МБ|64 ГБ||
Intel Core i5 Raptor Lake i5-13400T OEM|Core i5|Raptor Lake|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|10 cores|||16 threads|UHD Graphics 730|||||2 шт|CM8071505092802|||||||Есть|5.0|3200 МГц|82 Вт|4800 МГц|1.3 ГГц|1 ГГц||4.4 ГГц|3 ГГц|6 cores|4 cores||||||20 МБ|128 ГБ||
AMD Ryzen 5 Pinnacle Ridge 2600X BOX|Ryzen 5|Pinnacle Ridge (Zen+)|AMD AM4|12 нм|3.6 ГГц|95 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX|36|95 °С|6 cores|||12 threads|отсутствует|||||2 шт|YD260XBCAFBOX|4.2 ГГц||Есть||||Есть|3.0|2933 МГц||||||||||14371 балл(ов)|23337 балл(ов)|1387 балл(ов)|576 КБ|3072 КБ|16 МБ|64 ГБ|Есть|
AMD Ryzen 5 Pinnacle Ridge 2600X OEM|Ryzen 5|Pinnacle Ridge (Zen+)|AMD AM4|12 нм|3.6 ГГц|95 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /||95 °С|6 cores|||12 threads|отсутствует|||||2 шт|YD260XBCM6IAF|4.2 ГГц||Есть||||Есть|3.0|2933 МГц||||||||||14371 балл(ов)|23337 балл(ов)|1387 балл(ов)|576 КБ|3072 КБ|16 МБ|64 ГБ||
Intel Core i5 Rocket Lake i5-11500 BOX|Core i5|Rocket Lake|Intel LGA 1200|14 нм|2.7 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|6 cores|||12 threads|UHD Graphics 750|8 ГТ/с||||2 шт|BX8070811500, BXC8070811500|4.6 ГГц||||||Есть|4.0|3200 МГц||||||||||17891 балл(ов)|||||12 МБ|128 ГБ|Есть|
AMD A-Series Bristol Ridge A6-9500E OEM|A-Series|Bristol Ridge|AMD AM4|28 нм|3 ГГц|35 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, F16C, FMA3, FMA4, TBM, XOP, AMD64, AMD-V, EVP /||90 °С|2 cores|||2 threads|Radeon R5 series|||||2 шт|AD9500AHM23AB|3.4 ГГц||||||||2400 МГц|||||||||||||160 КБ|1024 КБ||||
Intel Core i5 Kaby Lake i5-7500 OEM|Core i5|Kaby Lake|Intel LGA 1151|14 нм|3.4 ГГц|65 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, VT-x, TBT 2.0, TXT, TSX, MPX, SGX /|34|100 °С|4 cores|||4 threads|HD Graphics 630|8 ГТ/с|||1600 МГц|2 шт|CM8067702868012|3.8 ГГц|||||||3.0|2400 МГц||||||||||8026 балл(ов)|14702 балл(ов)|599 балл(ов)|256 КБ|1024 КБ|6 МБ|64 ГБ||
Intel Core i7 Kaby Lake i7-7700K BOX|Core i7|Kaby Lake|Intel LGA 1151|14 нм|4.2 ГГц|91 Вт|MMX, SSE, SSE2, SSE2, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, F16C, FMA3, EM64T, NX, XD, HT, VT-x, TBT 2.0, TXT, TSX, MPX, SGX /|42|100 °С|4 cores|||8 threads|HD Graphics 630|8 ГТ/с|||1600 МГц|2 шт|BX80677I77700K|4.5 ГГц||Есть||||Есть|3.0|2400 МГц||||||||||12036 балл(ов)|29635 балл(ов)|963 балл(ов)|256 КБ|1024 КБ|8 МБ|64 ГБ||
AMD Athlon X4 Bristol Ridge X4 970|Athlon X4|Bristol Ridge|AMD AM4|28 нм|3.8 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, SSE4a, AES, AVX / AVX2, BMI, BMI1, BMI2, F16C, FMA3, FMA4, TBM, XOP, AMD64, AMD-V, EVP /|||4 cores|||4 threads|отсутствует|||||2 шт||4 ГГц||||||||2400 МГц|||||||||||||320 КБ|2048 КБ||||
Intel Core i5 Raptor Lake i5-13600 OEM|Core i5|Raptor Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|14 cores|||20 threads|UHD Graphics 770|||||2 шт|CM8071505092702|||||||Есть|5.0|3200 МГц|154 Вт|4800 МГц|2.7 ГГц|2 ГГц||5 ГГц|3.7 ГГц|6 cores|8 cores||||||24 МБ|128 ГБ||
Intel Core i7 Raptor Lake i7-13700 BOX|Core i7|Raptor Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|BX8071513700|||||||Есть|5.0|3200 МГц|219 Вт|5600 МГц|2.1 ГГц|1.5 ГГц|5.2 ГГц|5.1 ГГц|4.1 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ||5032037260213
Intel Core i5 Raptor Lake i5-13600T OEM|Core i5|Raptor Lake|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|14 cores|||20 threads|UHD Graphics 770|||||2 шт|CM8071505092601|||||||Есть|5.0|3200 МГц|92 Вт|4800 МГц|1.8 ГГц|1.3 ГГц||4.8 ГГц|3.4 ГГц|6 cores|8 cores||||||24 МБ|128 ГБ||
Intel Core i5 Comet Lake i5-10600 OEM|Core i5|Comet Lake|Intel LGA 1200|14 нм|3.3 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|33|100 °С|6 cores|||12 threads|UHD Graphics 630|8 ГТ/с||||2 шт|CM8070104290312|4.8 ГГц||||||Есть|3.0|2666 МГц||||||||||13583 балл(ов)|24380 балл(ов)|1569 балл(ов)|||12 МБ|128 ГБ||
AMD Ryzen 3 Summit Ridge 1200 PRO OEM|Ryzen 3|Summit Ridge (Zen)|AMD AM4|14 нм|3.1 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|31|95 °С|4 cores|||4 threads|отсутствует|||||2 шт|YD120BBBM4KAE|3.4 ГГц||Есть|||||3.0|2667 МГц||||||||||6376 балл(ов)|||384 КБ|2048 КБ|8 МБ|64 ГБ||
AMD Ryzen 5 Pinnacle Ridge 2600E OEM|Ryzen 5|Pinnacle Ridge (Zen+)|AMD AM4|12 нм|3.1 ГГц|45 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|31|95 °С|6 cores|||12 threads|отсутствует|||||2 шт|YD260EBHM6IAF|4 ГГц||Есть||||Есть|3.0|2667 МГц|||||||||||||576 КБ|3072 КБ|16 МБ|64 ГБ||
Intel Core i5 Rocket Lake i5-11600 OEM|Core i5|Rocket Lake|Intel LGA 1200|14 нм|2.8 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|6 cores|||12 threads|UHD Graphics 750|8 ГТ/с||||2 шт|CM8070804491513|4.8 ГГц||||||Есть|4.0|3200 МГц||||||||||18176 балл(ов)|||||12 МБ|128 ГБ||
Intel Core i5 Comet Lake i5-10500 BOX|Core i5|Comet Lake|Intel LGA 1200|14 нм|3.1 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2|31|100 °С|6 cores|||12 threads|UHD Graphics 630|8 ГТ/с||||2 шт|BX8070110500, BXC8070110500|4.5 ГГц||||||Есть|3.0|2666 МГц||||||||||13225 балл(ов)||1491 балл(ов)|||12 МБ|128 ГБ|Есть|
AMD Ryzen 3 Picasso 3200G PRO OEM|Ryzen 3|Picasso (Zen+)|AMD AM4|12 нм|3.6 ГГц|65 Вт|MMX, SSE, SSE2, SSE3, SSSE3, SSE4, SSE4.1, SSE4.2, AES, AVX, AVX2 / BMI, BMI1, BMI2, SHA, F16C, FMA3, AMD64, EVP, AMD-V, SMAP, SMEP /|36|95 °С|4 cores|||4 threads|Radeon Vega 8|||||2 шт|YD320BC5M4MFH|4 ГГц||Есть|||||3.0|2933 МГц||||||||||7282 балл(ов)|13398 балл(ов)||384 КБ|2048 КБ|4 МБ|||
AMD Ryzen 5 Renoir 4600G BOX|Ryzen 5|Renoir (Zen 2)|AMD AM4|7 нм|3.7 ГГц|65 Вт|||95 °С|6 cores|||12 threads|Radeon Vega 7|||||2 шт|100-100000147BOX|4.2 ГГц||||||Есть|3.0|3200 МГц||||||||||16910 балл(ов)|||384 КБ|3072 КБ|8 МБ|64 ГБ|Есть|
Intel Core i5 Comet Lake i5-10600K BOX|Core i5|Comet Lake|Intel LGA 1200|14 нм|4.1 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|41|100 °С|6 cores|||12 threads|UHD Graphics 630|8 ГТ/с||||2 шт|BX8070110600K, BXC8070110600K|4.8 ГГц||Есть||||Есть|3.0|2666 МГц||||||||||15113 балл(ов)|29635 балл(ов)|1615 балл(ов)|384 КБ|1536 КБ|12 МБ|128 ГБ||
Intel Core i5 Comet Lake i5-10600KF BOX|Core i5|Comet Lake|Intel LGA 1200|14 нм|4.1 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2|41|100 °С|6 cores|||12 threads|отсутствует|8 ГТ/с||||2 шт|BX8070110600KF, BXC8070110600KF|4.8 ГГц||Есть||||Есть|3.0|2666 МГц||||||||||15113 балл(ов)|29635 балл(ов)|1615 балл(ов)|||12 МБ|128 ГБ||
Intel Core i5 Raptor Lake i5-13400 BOX|Core i5|Raptor Lake|Intel LGA 1700|10 нм||65 Вт|SSE4.1, SSE4.2, AVX2||100 °С|10 cores|||16 threads|UHD Graphics 730|||||2 шт|BX8071513400|||||||Есть|5.0|3200 МГц|154 Вт|4800 МГц|2.5 ГГц|1.8 ГГц||4.6 ГГц|3.3 ГГц|6 cores|4 cores||||||20 МБ|128 ГБ|Есть|
AMD Ryzen 5 Raphael 7500F MPK|Ryzen 5|Raphael (Zen 4)|AMD AM5|5 нм|3.7 ГГц|65 Вт|AES, AMD-V, AVX, AVX2, AVX512, FMA3, MMX(+), SHA, SSE||95 °С|6 cores|||12 threads|отсутствует|||128 ГБ||2 шт|100-100000597MPK|5 ГГц||Есть|384 КБ|6144 КБ|32 МБ|Есть|5.0|||5200 МГц||||||||26379 балл(ов)|||||||Есть|5054444546742
Intel Core i9 Raptor Lake i9-13900T OEM|Core i9|Raptor Lake|Intel LGA 1700|10 нм||35 Вт|SSE4.1, SSE4.2, AVX2||100 °С|24 cores|||32 threads|UHD Graphics 770|||||2 шт|CM8071504820403|||||||Есть|5.0|3200 МГц|106 Вт|5600 МГц|1.1 ГГц|0.8 ГГц|5.3 ГГц|5.1 ГГц|3.9 ГГц|8 cores|16 cores||||||36 МБ|128 ГБ||
Intel Core i5 Rocket Lake i5-11600KF OEM|Core i5|Rocket Lake|Intel LGA 1200|14 нм|3.9 ГГц|125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|6 cores|||12 threads|отсутствует|8 ГТ/с||||2 шт|CM8070804491415|4.9 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||20026 балл(ов)|||||12 МБ|128 ГБ||
Intel Core i7 Raptor Lake i7-13700KF BOX|Core i7|Raptor Lake|Intel LGA 1700|7 нм||125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|отсутствует|||||2 шт|BX8071513700KF|||Есть||||Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.4 ГГц|2.5 ГГц|5.4 ГГц|5.3 ГГц|4.2 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ||
Intel Core i7 Raptor Lake i7-13700K BOX|Core i7|Raptor Lake|Intel LGA 1700|7 нм||125 Вт|SSE4.1, SSE4.2, AVX2||100 °С|16 cores|||24 threads|UHD Graphics 770|||||2 шт|BX8071513700K|||Есть||||Есть|5.0|3200 МГц|253 Вт|5600 МГц|3.4 ГГц|2.5 ГГц|5.4 ГГц|5.3 ГГц|4.2 ГГц|8 cores|8 cores||||||30 МБ|128 ГБ||
Intel Core i5 Rocket Lake i5-11400 BOX|Core i5|Rocket Lake|Intel LGA 1200|14 нм|2.6 ГГц|65 Вт|SSE4.1, SSE4.2, AVX2, AVX-512||100 °С|6 cores|||12 threads|UHD Graphics 730|8 ГТ/с||||2 шт|BX8070811400, BXC8070811400|4.4 ГГц||||||Есть|4.0|3200 МГц||||||||||17460 балл(ов)|28667 балл(ов)||||12 МБ|128 ГБ|Есть|
AMD Ryzen 5 Matisse 3500X OEM|Ryzen 5|Matisse (Zen 2)|AMD AM4|7 нм|3.6 ГГц|65 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|36|95 °С|6 cores|||6 threads|отсутствует|||||2 шт|100-000000158|4.1 ГГц||Есть|||||4.0|3200 МГц||||||||||13365 балл(ов)|||384 КБ|3072 КБ|32 МБ|64 ГБ||
AMD Ryzen 5 Matisse 3600X MPK|Ryzen 5|Matisse (Zen 2)|AMD AM4|7 нм|3.8 ГГц|95 Вт|MMX+, SSE, SSE2, SSE3, SSSE3, SSE4.1, SSE4.2, SSE4A, AMD-V, AES, AVX / AVX2, FMA3, SHA /|38||6 cores|||12 threads|отсутствует|||||2 шт|100-100000022MPK|4.4 ГГц||Есть||||Есть|4.0|3200 МГц||||||||||20686 балл(ов)|30881 балл(ов)|1610 балл(ов)||3072 КБ|32 МБ|128 ГБ|Есть|
